"q48","What are your general thoughts regarding the legalization of cannabis?","n =  438"
"There government knew there is more money in keeping people sick. Now that people are learning that the government has been lying to us all these years about cannabis and it’s  phenomenal medicinal value . Well, it pisses me off at the government. ","1","0.23"
"They need to legalize totally. Make it simple, you have to be 21 in order to grow, buy, manufacture,any cannabis. Simple. Treat like alcohol. They need to subsidize the cost for the medical patients who can't afford. Just like ""legit"" drugs.","1","0.23"
"They should ","1","0.23"
"This extraordinary plant should have always been and should always be legal and available, particularly as an alternative to opioids for pain.","1","0.23"
"Thumbs up","1","0.23"
"To each their own","1","0.23"
"Too  Slow.taxes ridiculous ","1","0.23"
"Too little and far too late!","1","0.23"
"too many people and not enough product","1","0.23"
"Took long enough","1","0.23"
"Unsure","1","0.23"
"Very good, but needs to come with commutations of drug charges & way to fund material reparations to communities & families harmed by drug war. ","1","0.23"
"Very important. Everyone should have access","1","0.23"
"Very much in favor. It has far more benefits than risks, and incarceration for drug offenses needs to end and all current and former prisoners be released, compensated, and the charges expunged from their records. ","1","0.23"
"Very pleased that has happened.","1","0.23"
"Very positive","1","0.23"
"Very pro.  I feel if alcohol is legal - can I is should be aswell","1","0.23"
"Very pro. Some who could use it as a med choose not to get a card so they are not listed on a database","1","0.23"
"Voted for it","1","0.23"
"Waited 46 years for this.  It will have many unforeseen benefits including reducing alcoholism, reducing vehicular mortality due to alcohol, and might help some with opiod abuse.","1","0.23"
"Way over due, public opinion is being ignored, the majority of the population is in support of legalization.","1","0.23"
"way overdue","1","0.23"
"We need to get it off schedule 1 and make it available in all 50 states","1","0.23"
"What's taking so long?","1","0.23"
"Why are people making it so damn complicated?!? Nasty politics and old propaganda.😩","1","0.23"
"Wonderful","1","0.23"
"Works great for my disabilities ","1","0.23"
"would agree to legalization","1","0.23"
"Yay","1","0.23"
"Yes","1","0.23"
"Yes already","1","0.23"
"Yes pro legalisation. Should be universally available. ","1","0.23"
"Yes!","1","0.23"
