"q41","What features are missing from your sources of information that you would like to see included?","n =  1249"
"studies","1","0.08"
"Studies into terpenes","1","0.08"
"Suggested dosages for certain conditions based on previous patient experience","1","0.08"
"Suggested doses ","1","0.08"
"Surveys","1","0.08"
"Symptoms relieved by strain","1","0.08"
"Symptoms treated","1","0.08"
"terp tests","1","0.08"
"Terpene % ","1","0.08"
"Terpene data","1","0.08"
"terpene info","1","0.08"
"Terpene info","1","0.08"
"Terpene information","1","0.08"
"Terpene profile","1","0.08"
"Terpene Profile!!! Cannabinoids profile.","1","0.08"
"Terpene Profiles ","1","0.08"
"Terpene profiles and heritage / breeder information","1","0.08"
"Terpene profiles for strains","1","0.08"
"terpene profiles on leafly.  patient rates by condition ","1","0.08"
"Terpene results","1","0.08"
"Terpene testing","1","0.08"
"Terpene, THC and CBD, CBG, etc levels","1","0.08"
"Terpene/flavor profiles","1","0.08"
"terpenes","1","0.08"
"Terpenoid profiles","1","0.08"
"Terpine content","1","0.08"
"terpines in the product","1","0.08"
"Terprnes","1","0.08"
"Test data on locally available products","1","0.08"
"Testament","1","0.08"
"Testing criteria should be well known","1","0.08"
"Testing for pgr","1","0.08"
"testing until we get a store-home testing","1","0.08"
"THC amount consistently included. ","1","0.08"
"THC CONTENT","1","0.08"
"Thc content ","1","0.08"
"thc level","1","0.08"
"THC levels on products","1","0.08"
"THC potency.","1","0.08"
"THC/CBD ranges ","1","0.08"
"The deals","1","0.08"
"The dispensary I got to the bud tenders just seem like sales people would be nice to sit with someone come up with a plan to treat a couple medical condition w each strain . Instead of just walking up to counter an just purchasing  any strain.","1","0.08"
"There are no budtenders here, so please ignore my answers to those Q's.","1","0.08"
"There is SO much information out there hard to say","1","0.08"
"There is too much contradictory information.","1","0.08"
"They claim that every single strain is the BEST","1","0.08"
"Thx and cbd treponema levels","1","0.08"
"To make info more easily obtainable ","1","0.08"
"Too new to this to know.","1","0.08"
"tours of your grow shop","1","0.08"
"trichure drops","1","0.08"
"True, batch specific efficacy data via consumer reviews ","1","0.08"
"Trusted reviews","1","0.08"
"Type of buds in product ","1","0.08"
"unknown","1","0.08"
"unkown","1","0.08"
"Unkown","1","0.08"
"Unsure, satisfied","1","0.08"
"up to date lists of whats in stock","1","0.08"
"Up to date menus","1","0.08"
"Upcoming technologies and smoking methods","1","0.08"
"Updated menu and pricing","1","0.08"
"Updated menus","1","0.08"
"Updated menus on line","1","0.08"
"Usage instructions","1","0.08"
"Use of pesticides ","1","0.08"
"validated scientific studies","1","0.08"
"visual infographics and recommendations based on past likes/favorites + sale alerts :)","1","0.08"
"Ways  to vape flower.","1","0.08"
"We would like to have cannabis viewed as respectably as all medications.  Allowing us to speak freely about how much it has helped us.","1","0.08"
"well not all strains are listed. more on terpenes","1","0.08"
"were are discounts","1","0.08"
"What exactly works for certain chronic pain and exact doses.","1","0.08"
"What is available in my town","1","0.08"
"What its good for","1","0.08"
"What strains are best for health reason your using it for.   The place I go suggest stuff, but it has been a trial and error .  ","1","0.08"
"what the rso is made with ","1","0.08"
"What time of day to use cannabis because of strain","1","0.08"
"What to avoid","1","0.08"
"What type of ailments, diseases each strain treats","1","0.08"
"When a specific dispensary comes up with a name or one that is just from their company, they do not tell you about it on any website since it is specific to them","1","0.08"
"when I'm reading and looking at these resources at the time I go ""these should have"" and now when I'm asked I can't think of them ","1","0.08"
"When the flower that ran out. When it will be available again","1","0.08"
"Where I can get certain products and cost","1","0.08"
"Where it comes from. ","1","0.08"
"Where it was grown? How is it grown differently for different effects? ","1","0.08"
"Where to buy","1","0.08"
"Where to buy isn’t always updated or available","1","0.08"
"Where to find favorite strain","1","0.08"
"where to find specific strains","1","0.08"
"Where to find the strain most liked","1","0.08"
"Where to get it nearby ","1","0.08"
"Where to get items not available locally to me ","1","0.08"
"Where to get recommended strains locally","1","0.08"
"Where to get the different strains that are reviewed","1","0.08"
"Which products effectively treat my medical issues ","1","0.08"
"Who has what in stock","1","0.08"
"why is the dry and cure process not documented anywhere?","1","0.08"
"Will company sell seeds of strains they sell?","1","0.08"
"wish we could purchase in retail facilities in Maine, but not yet....","1","0.08"
"word clouds from user reviews","1","0.08"
"Workplace ","1","0.08"
"World related","1","0.08"
"would like all advertised product to include CBD and Terps percentage","1","0.08"
"Would like to move away from the silly strain names.","1","0.08"
"WOULD LIKE TO SEE ANN CBD AND THC % LISTED ON ALL WEBSITES","1","0.08"
"Yikes... a lengthy, lengthy list","1","0.08"
